"x","y","dtime","lc","delta.t"
57335.5045526993,821344.835564487,1995-11-28 22:03:00,"B",1.66666666666667
28101.4104348268,807856.741175864,1995-11-29 01:36:00,"B",3.55
56434.3300137074,838306.04455952,1995-11-29 03:17:00,"A",1.68333333333333
66007.1102280818,837336.994501492,1995-11-29 04:58:00,"B",1.68333333333333
34609.8556378842,820635.893923838,1995-11-29 10:16:00,"B",5.3
58017.9314960581,836206.990817607,1995-11-29 11:56:00,"B",1.66666666666667
141087.409944791,815164.550013278,1995-11-29 17:03:00,"A",5.11666666666667
-10208.0571017121,486027.689016796,1995-11-30 13:29:00,"B",20.4333333333333
40614.8482667857,831747.225898394,1995-12-01 18:03:00,"B",28.5666666666667
71880.7469648063,836322.233231945,1995-12-01 19:41:00,"B",1.63333333333333
63810.9353252552,832722.196342448,1995-12-01 21:32:00,"A",1.85
60562.8089678167,829991.141560772,1995-12-02 00:52:00,"A",3.33333333333333
56693.8762521905,828482.339588927,1995-12-02 14:48:00,"A",13.9333333333333
67757.8306343165,825751.996126473,1995-12-03 05:09:00,"A",14.35
59133.2885199345,829522.922981047,1995-12-03 17:19:00,"3",12.1666666666667
60326.250645294,825855.703459293,1995-12-03 18:59:00,"0",1.66666666666667
56076.3436276631,829813.631103258,1995-12-03 21:11:00,"0",2.2
57171.1722997451,828600.845477773,1995-12-03 22:52:00,"0",1.68333333333333
75236.4789728863,832698.856797869,1995-12-04 00:28:00,"B",1.6
50815.8468499464,829296.210428267,1995-12-04 01:28:00,"B",1
58174.656121798,825488.653044193,1995-12-04 04:48:00,"0",3.33333333333333
53558.424312155,830113.912906306,1995-12-04 11:04:00,"0",6.26666666666667
60959.5026902823,827540.413494972,1995-12-04 14:24:00,"A",3.33333333333333
56415.1510774339,827026.669292258,1995-12-04 18:37:00,"1",4.21666666666667
55073.3364787717,824439.516273836,1995-12-04 22:43:00,"0",4.1
58823.7357115014,826168.209405985,1995-12-05 00:22:00,"B",1.65
79327.6417689441,828534.516738018,1995-12-05 12:35:00,"A",12.2166666666667
111705.690741303,792903.289762147,1995-12-05 15:52:00,"B",3.28333333333333
56351.8001631769,831492.612878496,1995-12-05 18:15:00,"0",2.38333333333333
67089.1339271535,847518.748452379,1995-12-05 19:54:00,"A",1.65
57041.1122132364,837644.648739014,1995-12-05 20:47:00,"0",0.883333333333333
51019.9618416891,822710.531920023,1995-12-05 22:27:00,"B",1.66666666666667
62569.1474358315,828012.103845687,1995-12-06 00:10:00,"1",1.71666666666667
-244735.625586011,1130611.84832703,1995-12-06 17:57:00,"B",17.7833333333333
57672.6429094159,831176.548502843,1995-12-06 19:33:00,"A",1.6
61619.878231433,827438.92039599,1995-12-06 23:57:00,"A",4.4
50616.8939853205,816675.759285925,1995-12-07 00:00:00,"B",0.05
80785.8503898732,812706.154414736,1995-12-07 00:26:00,"B",0.433333333333333
84722.397584196,817031.261910084,1995-12-07 02:05:00,"B",1.65
83701.9050623968,834096.829251517,1995-12-07 03:44:00,"B",1.65
64637.3666993551,826035.086390223,1995-12-07 05:23:00,"A",1.65
54249.0325305316,832133.376968647,1995-12-07 12:13:00,"B",6.83333333333333
56306.2217581755,830486.912587991,1995-12-07 13:53:00,"1",1.66666666666667
60492.7701953522,830660.117071173,1995-12-07 19:10:00,"1",5.28333333333333
55923.2461577091,823669.707489852,1995-12-07 20:26:00,"0",1.26666666666667
60173.3234353471,831995.360783265,1995-12-07 22:07:00,"1",1.68333333333333
58152.8542520451,831071.875082595,1995-12-08 01:42:00,"2",3.58333333333333
57939.5990069449,829281.998810507,1995-12-08 03:21:00,"B",1.65
61629.6149002646,819064.015268106,1995-12-10 01:07:00,"B",45.7666666666667
62270.4069708213,835601.371773928,1995-12-10 23:15:00,"1",22.1333333333333
58759.6796512136,834542.739570515,1995-12-11 03:57:00,"B",4.7
67751.9169159722,833122.514099925,1995-12-11 05:41:00,"B",1.73333333333333
59119.9048053595,826395.938715302,1995-12-12 01:55:00,"A",20.2333333333333
56994.7904634454,828374.97170248,1995-12-12 05:12:00,"B",3.28333333333333
60630.4480872051,821616.96410845,1995-12-12 15:41:00,"A",10.4833333333333
337645.755083039,838518.669208488,1995-12-12 17:19:00,"B",1.63333333333333
72218.136252378,827617.274306785,1995-12-12 19:03:00,"0",1.73333333333333
23981.445221178,751577.208413826,1995-12-13 03:11:00,"B",8.13333333333333
72801.2307426558,821932.532915003,1995-12-13 16:59:00,"B",13.8
57318.5416133371,830836.404689979,1995-12-13 18:40:00,"0",1.68333333333333
73438.1514988228,823172.622061868,1995-12-13 21:04:00,"A",2.4
60418.9132586915,827643.834102376,1995-12-14 02:51:00,"0",5.78333333333333
58857.1905988818,827955.423270747,1995-12-14 04:32:00,"0",1.68333333333333
62426.6114396914,829461.612503948,1995-12-14 14:19:00,"0",9.78333333333333
32380.0310089829,807107.620492863,1995-12-14 15:57:00,"B",1.63333333333333
58126.7063341287,832858.281259969,1995-12-14 18:20:00,"A",2.38333333333333
39297.9166050255,807504.583803065,1995-12-14 19:58:00,"B",1.63333333333333
59091.7602893998,832314.147790023,1995-12-14 22:33:00,"B",2.58333333333333
59065.144260154,830080.27285144,1995-12-15 00:14:00,"A",1.68333333333333
45098.4361928197,842516.356006612,1995-12-15 02:30:00,"A",2.26666666666667
61566.5050452984,799746.930662715,1995-12-15 04:09:00,"B",1.65
61246.847747038,828326.531124951,1995-12-15 05:49:00,"0",1.66666666666667
92217.6225641175,799330.609969836,1995-12-15 10:43:00,"B",4.9
76187.0097652533,826797.91211125,1995-12-15 19:35:00,"B",8.86666666666667
51969.0572914326,828082.763421609,1995-12-16 12:18:00,"A",16.7166666666667
58458.5434649996,830629.667737232,1995-12-16 13:56:00,"0",1.63333333333333
55917.3574113607,832603.209074748,1995-12-16 19:13:00,"3",5.28333333333333
61284.3317352258,829778.855545925,1995-12-16 23:52:00,"A",4.65
61286.0533688847,829667.208626417,1995-12-16 23:52:00,"A",0.1
69327.6776314531,814723.918289411,1995-12-17 01:46:00,"A",1.9
63900.6315862311,827139.899517122,1995-12-17 03:25:00,"0",1.65
64533.9637022689,832398.847112488,1995-12-17 05:07:00,"A",1.7
